,Poet,birthday
585,Alfred Noyes,1880-09-16 00:00:00
586,Jennifer Michael Hecht,1965-11-23 00:00:00
587,Hannah Sanghee Park,1986-05-24 00:00:00
588,W. E. B. Du Bois,1868-02-23 00:00:00
589,JonArno Lawson,1968-06-11 00:00:00
590,Babette Deutsch,1895-09-22 00:00:00
591,William Hathaway,1924-02-21 00:00:00
592,Joe Brainard,1942-03-11 00:00:00
593,Juan Felipe Herrera,1948-12-27 00:00:00
594,Angelos Sikelianos,1884-03-28 00:00:00
595,May Sarton,1912-05-03 00:00:00
596,Christopher Logue,1926-11-23 00:00:00
597,Natasha Trethewey,1966-04-26 00:00:00
598,Kathryn Stripling Byer,1944-11-25 00:00:00
599,Pat Mora,1942-01-19 00:00:00
600,Juhan Liiv,1864-04-30 00:00:00
601,Galway Kinnell,1927-02-01 00:00:00
602,Dante Gabriel Rossetti,1828-05-12 00:00:00
603,Mark Twain,1835-11-30 00:00:00
604,Juan Ramón Jiménez,1881-12-23 00:00:00
605,Mark Irwin,1950-08-07 00:00:00
606,Ann Yearsley,1753-07-08 00:00:00
607,Waldo Williams,1904-09-30 00:00:00
608,Martín Espada,1957-08-07 00:00:00
609,Susanna Moodie,1803-12-06 00:00:00
610,Eugene Dubnov,1949-11-02 00:00:00
611,Lia Purpura,1964-02-22 00:00:00
612,Charles Ghigna,1946-08-25 00:00:00
613,William Jay Smith,1918-04-22 00:00:00
614,Alberto Ríos,1952-09-18 00:00:00
615,Harryette Mullen,1953-07-01 00:00:00
616,Mark Sanders,1979-07-10 00:00:00
617,Cecilia Vicuña,1948-07-22 00:00:00
618,Dick Allen,1942-03-08 00:00:00
619,Eleanor Farjeon,1881-02-13 00:00:00
620,George Eliot,1819-11-22 00:00:00
621,Jorge Luis Borges,1899-08-24 00:00:00
622,Kwame Dawes,1962-07-28 00:00:00
623,Thomas Gray,1716-12-26 00:00:00
624,Nathaniel Tarn,1928-06-30 00:00:00
625,Susan Eisenberg,1964-08-21 00:00:00
626,Carolyn Forché,1950-04-28 00:00:00
627,Jerome Rothenberg,1931-12-11 00:00:00
628,Jack Prelutsky,1940-09-08 00:00:00
629,Gwendolyn Brooks,1917-06-07 00:00:00
630,Michael Hofmann,1957-08-25 00:00:00
631,Robert Lax,1915-11-30 00:00:00
632,Jayne Cortez,1934-05-10 00:00:00
633,George Herbert,1593-04-03 00:00:00
634,Arthur Rimbaud,1854-10-20 00:00:00
635,Georgia Douglas Johnson,1880-09-10 00:00:00
636,Ali Liebegott,1971-08-08 00:00:00
637,Kenneth Slessor,1901-03-27 00:00:00
638,George Sterling,1869-12-01 00:00:00
639,Luljeta Lleshanaku,1968-04-02 00:00:00
640,George Henry Boker,1823-10-06 00:00:00
641,Robert Southey,1774-08-12 00:00:00
642,Lavinia Greenlaw,1962-07-30 00:00:00
643,Daryl Hine,1936-02-24 00:00:00
644,Matthew Sweeney,1952-10-06 00:00:00
645,Elizabeth Bishop,1911-02-08 00:00:00
646,Audre Lorde,1934-02-18 00:00:00
647,Jericho Brown,1976-04-14 00:00:00
648,János Pilinszky,1921-11-25 00:00:00
649,Letitia Elizabeth Landon,1802-08-14 00:00:00
650,Rachel Blau DuPlessis,1941-12-14 00:00:00
651,A. E. Stallings,1968-07-02 00:00:00
652,Anne Waldman,1945-04-02 00:00:00
653,Merrill Moore,1903-09-11 00:00:00
654,Minnie Bruce Pratt,1946-09-12 00:00:00
655,Robert Pinsky,1940-10-20 00:00:00
656,David Caplan,1964-11-15 00:00:00
657,Marie Ponsot,1921-04-06 00:00:00
658,Mary Morris,1915-12-13 00:00:00
659,Robin Richardson,1942-06-26 00:00:00
660,Brad Leithauser,1953-02-27 00:00:00
661,Simone White,1970-02-07 00:00:00
662,Derek Walcott,1930-01-23 00:00:00
663,C. K. Williams,1936-11-04 00:00:00
664,Connie Wanek,1952-06-01 00:00:00
665,Bob Perelman,1947-12-02 00:00:00
666,John Koethe,1945-12-25 00:00:00
667,Harry Mathews,1930-02-14 00:00:00
668,Pierluigi Cappello,1967-08-08 00:00:00
669,Louis Untermeyer,1885-10-01 00:00:00
670,Richard Hugo,1923-12-21 00:00:00
671,Archibald MacLeish,1892-05-07 00:00:00
672,Charlotte Elizabeth Tonna,1790-10-01 00:00:00
673,Frederick Goddard Tuckerman,1821-02-04 00:00:00
674,Joan Retallack,1941-10-13 00:00:00
675,T. E. Hulme,1883-09-16 00:00:00
676,Margo Tamez,1962-01-28 00:00:00
677,Gjertrud Schnackenberg,1953-08-27 00:00:00
678,Álvaro de Campos,1890-10-15 00:00:00
679,Israel Zangwill,1864-01-21 00:00:00
680,Samuel Taylor Coleridge,1772-10-21 00:00:00
681,Lisa Robertson,1961-07-22 00:00:00
682,Clement Clarke Moore,1779-07-15 00:00:00
683,Eileen Myles,1949-12-09 00:00:00
684,Robert Hass,1941-03-01 00:00:00
685,R. Parthasarathy,1934-08-20 00:00:00
686,Rose Fyleman,1877-03-06 00:00:00
687,Peter Balakian,1951-06-13 00:00:00
688,Geoffrey Brock,1964-10-19 00:00:00
689,Heather McHugh,1948-08-20 00:00:00
690,Henry Wadsworth Longfellow,1807-02-27 00:00:00
